State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
District of Columbia,1282635,181741,222070,1045370,148122,1004803,173967,517180,73.3,491683,85.1,436533,61.9,418321,72.4,737235,487300,58100,0,31435,382293,631193,449,157562,243404,35289,278,157496,225297,35268,260,401783,73.3,491683,85.1,56.9,383590,66.4,517180,84345,96.6,74508,85.3,40035,32401,2628,46,200251,229270,1468500,517062,84.8,436481,71.6,157556,243364,35286,275,1045273,171425,210353,21505,4.9,21457,5.1,15543,20.9,11356,15.2,0,0,0,0
Dept of Defense,5536590,0,0,6134515,0,5826036,0,3335594,0,3168125,0,2595394,0,2462610,0,3431790,1906200,198600,0,267134,2133583,3718407,15391,850479,1511318,233547,50,850323,1378873,233364,50,2362325,0,3168125,0,0,2229722,0,3335594,254707,0,159934,0,55359,97105,7470,0,457864,0,0,3335396,0,2595321,0,850462,1511284,233525,50,6134253,0,0,505,0,503,0,14,0,6,0,0,0,0,0
Delaware,1629445,167335,211563,1272284,130656,1190034,154511,665727,68.4,624036,81,578337,59.4,542965,70.5,920085,640660,68700,0,51620,478789,740393,1482,210322,316362,51160,493,210199,281165,51115,486,527465,68.4,624036,81,54.2,492137,63.9,665727,189325,99.9,167889,88.9,68565,89929,9353,269,388388,205599,862569,665539,79.2,578283,68.9,210311,316328,51151,493,1272050,151469,194026,39258,6.8,39204,7.2,35186,21,28532,17,0,0,0,0
Florida,34507895,160668,200071,27997140,130354,26449593,153350,14724066,68.6,13883022,80.5,12721909,59.2,12037657,69.8,19310415,13338280,1859200,0,1230171,10279090,16386602,101277,4485607,6991105,1215071,30126,4483900,6310321,1213524,29912,11517335,68.6,13883022,80.5,53.6,10834579,62.8,14724066,4403083,97.9,3857784,85.8,1863450,1787128,203184,18150,9249281,205661,767296,14715877,78.7,12720139,68,4484896,6990845,1214276,30122,27987988,149700,184573,935215,7.4,933730,7.8,836491,21.7,672423,17.4,0,0,0,0
Federated States of Micronesia,88470,85360,109593,75240,72595,74014,91685,45806,44.2,45112,55.9,40226,38.8,39667,49.1,2970,74000,11500,0,11796,62188,1256,0,28277,685,11263,1,28272,154,11240,1,29007,44.2,45112,55.9,28,28471,35.3,45806,3565,20.3,3287,18.7,2235,7,1045,0,5864,33392,503787,45792,51.7,40217,45.4,28276,685,11255,1,75225,84991,99956,51,0.1,49,0.1,14,0.4,3,0.1,0,0,0,0
Georgia,15339265,144473,189058,11222100,105695,10521345,129676,5987762,56.4,5586983,68.9,5050565,47.6,4749167,58.5,8370405,6310760,658100,0,281139,4416729,6513944,10288,1961412,2806234,279626,3293,1960582,2506305,279193,3087,4774844,56.4,5586983,68.9,45,4473821,55.1,5987762,1343973,88.6,1184304,78.1,644670,509097,33164,1554,2776504,183032,1011190,5985407,66.6,5050005,56.2,1961354,2805846,279517,3288,11219334,124824,170662,285107,5.6,284471,6,234777,19.8,171441,14.5,0,0,0,0
Guam,244850,147706,189639,247874,149531,222395,172247,130425,78.7,116738,90.4,118529,71.5,106799,82.7,150150,74200,20500,0,10094,78801,158938,41,36716,72301,9512,0,36702,60591,9506,0,109049,78.7,116738,90.4,65.8,97325,75.4,130425,16408,58.4,15394,54.8,6286,8587,530,0,34180,121693,871756,130396,92.1,118516,83.7,36715,72290,9511,0,247833,175070,172963,5626,4.7,5624,5.3,4269,27.7,2602,16.9,0,0,0,0
Hawaii,2473120,174671,221605,1951288,137815,1826164,163634,1107256,78.2,1029963,92.3,841077,59.4,791276,70.9,1451580,920540,101000,0,51094,623901,1182279,94014,271437,499645,51865,18130,270830,450633,51700,18113,789385,78.2,1029963,92.3,55.8,739746,66.3,1107256,281963,99.9,233881,87.1,96523,126471,10015,1416,537813,200342,921266,1103433,91.1,839557,69.3,271387,498222,51829,18119,1946676,160735,204203,56875,6.8,56767,7.2,45070,19.3,33464,14.3,0,0,0,0
Iowa,4500875,142655,185356,3622282,114808,3398634,139963,1867176,59.2,1749471,72,1740418,55.2,1636146,67.4,2525955,1751020,223900,0,148399,1399775,2073730,378,672150,921700,146327,241,671956,817703,146247,240,1594702,59.2,1749471,72,50.5,1490503,61.4,1867176,515101,93.2,494181,89.4,259380,221792,13675,108,1093328,197725,813969,1867085,69.8,1740391,65,672143,921682,146325,241,3622226,135346,168176,135294,7.8,135124,8.3,115596,23.4,92379,18.7,0,0,0,0
Idaho,2373300,132804,177262,1664702,93153,1663471,124245,866653,48.5,864195,64.5,772366,43.2,770728,57.6,1321740,928460,123100,0,68190,657719,936472,2321,298108,405752,67939,567,298086,404164,67917,561,704961,48.5,864195,64.5,39.4,703345,52.5,866653,255186,87.8,238169,81.9,109213,117752,11302,241,537368,184872,816493,0,0,0,0,0,0,0,0,0,0,0,68746,8.9,68744,8.9,58304,24.5,45655,19.2,0,0,0,0
Indian Health Svc,2189465,105121,0,1701973,81715,1557576,0,921950,44.3,842261,0,765775,36.8,701283,0,1060365,1041000,88100,0,33418,828698,839752,105,367675,364814,33281,5,367369,300686,33223,5,732624,44.3,842261,0,35.2,668185,0,921950,158713,0,132345,0,74262,54924,3159,0,306996,0,0,921524,0,765590,0,367600,364725,33260,5,1701341,0,0,39150,5.1,39038,5.6,28725,21.7,16016,12.1,0,0,0,0
Illinois,18889835,149070,191698,15702093,123913,14536379,147518,8813921,69.6,8143549,82.6,6896675,54.4,6410822,65.1,10923195,7039440,927200,0,555823,5622659,9503119,20492,2405711,3938979,545407,6578,2399178,3462225,542946,6473,6354044,69.6,8143549,82.6,50.1,5870630,59.6,8813921,1979543,96.9,1613687,79,727681,812582,75718,3046,3753855,183721,924508,8787926,81.1,6882077,63.5,2405666,3924455,545378,6578,15660604,144500,174296,267575,3.9,266920,4.2,216923,13.4,164402,10.2,0,0,0,0
Indiana,8819650,131007,170783,7060515,104876,6643684,128648,3591078,53.3,3370893,65.3,3333148,49.5,3142715,60.9,5039430,3307720,472500,0,259983,2533399,4242096,25037,1188018,1881644,256055,7431,1187723,1691836,255804,7352,3079643,53.3,3370893,65.3,45.7,2889424,56,3591078,950246,87.5,917191,84.5,450070,435911,29394,3646,2070802,190727,812315,3590679,62.9,3332992,58.4,1188003,1881523,256035,7431,7060025,123751,154594,243581,7.3,243112,7.7,210769,23,166637,18.2,0,0,0,0
Kansas,4138455,142053,187001,3251403,111605,3024910,136684,1797325,61.7,1673009,75.6,1535684,52.7,1432274,64.7,2260095,1669060,209300,0,109722,1248450,1891654,1577,582391,844622,108179,492,582054,741713,108077,430,1428224,61.7,1673009,75.6,49,1324910,59.9,1797325,480516,99.9,407422,85.7,194798,196616,17490,220,918778,193229,870361,1797155,73.3,1535648,62.6,582383,844602,108171,492,3251224,132611,168800,98788,6.4,98561,6.9,82868,20.3,65636,16.1,0,0,0,0
Kentucky,6163365,137955,177885,5206923,116547,4898087,141367,2786082,62.4,2616678,75.5,2427199,54.3,2287923,66,3237345,2624120,301900,0,204829,2115323,2885313,1458,966324,1257692,201795,1388,966085,1118835,201669,1334,2226481,62.4,2616678,75.5,49.8,2087328,60.2,2786082,717491,95.6,638725,85.1,290844,309572,38464,706,1426183,190015,821164,2785647,73.2,2427124,63.8,966311,1257662,201765,1386,5205750,136771,161931,179592,7.4,179321,7.8,152685,23.9,116948,18.3,0,0,0,0
Louisiana,6047370,130085,169814,4767678,102557,4512507,126714,2482686,53.4,2340384,65.7,2194582,47.2,2081517,58.5,3201450,2580920,265000,0,162920,1943473,2658982,2303,887452,1150110,156068,952,886975,1037688,155910,944,2039519,53.4,2340384,65.7,43.9,1926608,54.1,2482686,649928,87.7,617398,83.3,295957,306948,22242,198,1381789,186471,816085,2482390,63.3,2194465,55.9,887430,1150038,156045,952,4767299,121512,154139,170157,7.8,169844,8.2,144564,23.4,110017,17.8,0,0,0,0
Massachusetts,11621650,168613,209788,10204856,148057,9472364,170990,5466110,79.3,5068525,91.5,4771028,69.2,4433155,80,6605310,4513140,503200,0,341982,3834852,6027625,397,1756985,2669099,344806,138,1751684,2337761,343589,121,4428492,79.3,5068525,91.5,64.3,4091822,73.9,5466110,1214384,99.9,1049732,89.8,472917,509711,69533,48,2378635,203418,993871,5449250,90.6,4759487,79.1,1756977,2657575,344797,138,10176205,169131,193155,287504,6,287024,6.5,238199,22.7,182164,17.4,0,0,0,0
Maryland,10553790,174567,224025,8343034,138000,7706906,163594,4375846,72.4,4038736,85.7,3971115,65.7,3676216,78,6155010,3923780,475000,0,302701,3012210,5016085,12038,1404784,2265709,297403,3219,1404307,1971629,297196,3084,3678314,72.4,4038736,85.7,60.8,3383588,71.8,4375846,938720,97.8,876554,91.4,414550,410042,53285,852,1928293,200990,1100050,4375196,84.7,3970895,76.9,1404746,2265566,297367,3216,8342396,161584,204416,263335,6.6,262784,7.1,215375,24.6,161366,18.4,0,0,0,0
Maine,2276840,169381,207860,1913254,142333,1798544,164195,1017844,75.7,958219,87.5,941408,70,887533,81,1220040,931600,125200,0,120246,750290,1041324,1394,355474,466957,118657,320,355413,413247,118584,289,823306,75.7,958219,87.5,61.2,769497,70.2,1017844,289655,99.9,269185,94.4,122329,123864,23055,141,587992,206121,798149,1017730,85.9,941372,79.4,355467,466948,118637,320,1913130,161454,192149,64964,6.9,64890,7.3,57795,21.5,47450,17.6,0,0,0,0
Marshall Islands,57140,97821,125591,41351,70791,40985,90083,23173,39.7,22922,50.4,20113,34.4,20072,44.1,2340,43500,11300,0,2142,38935,272,2,17964,15,2133,1,17934,13,2124,1,17988,39.7,22922,50.4,30.8,17956,39.5,23173,1316,13.3,1147,11.6,1048,0,99,0,2371,23957,577347,23148,46.4,20102,40.3,17956,15,2130,1,41317,82826,114546,8,0,8,0,3,0.3,0,0,0,0,0,0
Michigan,14231270,142500,181454,11140293,111550,10496394,133833,5757563,57.7,5419966,69.1,5301096,53.1,5000899,63.8,7682070,5833900,715300,0,376434,4248565,6513618,1676,2009845,2912908,377423,920,2009201,2613695,377145,858,4925453,57.7,5419966,69.1,49.3,4625502,59,5757563,1580409,89.5,1488697,84.3,742792,680350,67302,537,3262737,184816,806121,5757116,67,5300968,61.7,2009826,2912819,377405,918,11139773,129608,165576,416087,7.8,415503,8.3,350468,23.5,268233,18,0,0,0,0
Minnesota,8355900,148164,192689,7018451,124449,6509679,150115,3647264,64.7,3383196,78,3350602,59.4,3107845,71.7,4824420,3137180,394300,0,299825,2515773,4200316,2537,1181131,1868057,300621,793,1179017,1627976,300090,762,3051905,64.7,3383196,78,54.1,2809666,64.8,3647264,890020,96.7,839217,91.2,349759,441947,48888,202,1878378,204087,907873,3636078,76.1,3342496,70,1181119,1859984,300600,793,6998893,146479,174880,302871,9,302413,9.7,248952,29.7,197596,23.5,0,0,0,0
Missouri,8263765,134645,173359,6629366,108015,6238321,130869,3454895,56.3,3243913,68.1,3028176,49.3,2851163,59.8,4707765,3214700,341300,0,211091,2325978,4090094,2203,1065840,1749018,212826,492,1065454,1572724,212587,398,2816889,56.3,3243913,68.1,45.9,2640093,55.4,3454895,937292,88.3,849422,80,385669,427812,37967,166,1939519,182623,778105,3454477,66,3028102,57.8,1065828,1748980,212802,492,6628925,126610,157835,224848,7.4,224488,7.9,188527,22.2,145948,17.2,0,0,0,0
Northern Mariana Islands,86860,152702,196055,71778,126188,63048,142308,36182,63.6,31664,71.5,34627,60.9,30411,68.6,63300,20760,2800,0,803,9764,61211,0,4648,29173,806,0,4647,24958,806,0,33823,63.6,31664,71.5,59.5,29607,66.8,36182,2950,30.6,2892,30,469,2333,90,0,6381,66207,901224,36182,74.5,34627,71.3,4648,29173,806,0,71778,147764,178813,1814,5.2,1813,6,1314,45.4,637,22,0,0,0,0
Mississippi,3994565,134219,175387,2929949,98448,2757890,121089,1538160,51.7,1442248,63.3,1348398,45.3,1271377,55.8,2150025,1663740,180800,0,74675,1182685,1670694,1895,536079,737352,74503,464,535779,660735,74417,446,1274738,51.7,1442248,63.3,42.8,1197799,52.6,1538160,416449,85.6,387131,79.5,198168,173547,16858,221,854617,175597,820757,1537922,61,1348320,53.5,536068,737297,74491,464,2929655,116190,158425,93881,7,93650,7.4,81151,21,59920,15.5,0,0,0,0
Montana,1428465,133654,170017,1154718,108041,1091051,129858,601314,56.3,566800,67.5,533602,49.9,505194,60.1,749745,594220,84500,0,48716,476886,628068,1048,217881,267927,47488,306,217772,239677,47443,302,486612,56.3,566800,67.5,45.5,458243,54.5,601314,182470,88.4,168655,81.7,80837,78564,9357,165,378177,183192,691962,601167,65.5,533553,58.1,217862,267903,47482,306,1154514,125819,155674,49626,9.3,49538,9.8,41867,24.8,32785,19.4,0,0,0,0
North Carolina,15353510,146390,187527,12041740,114814,11279426,137766,6582229,62.8,6165720,75.3,5470442,52.2,5133672,62.7,8650230,5975980,727300,0,426165,4370159,7244669,747,1968674,3082455,419209,104,1965803,2749938,417829,102,5052124,62.8,6165720,75.3,48.2,4716727,57.6,6582229,1734344,99,1426845,81.5,682788,699020,47778,47,3318785,189526,876795,6574002,73.2,5465423,60.8,1968616,3077512,419191,104,12028463,133865,170869,250481,4.6,250213,4.9,202668,14.2,149719,10.5,0,0,0,0
North Dakota,994740,130533,170950,792041,103934,749561,128815,401502,52.7,379753,65.3,348070,45.7,330170,56.7,566760,385680,42300,0,33477,300613,457652,299,133929,183675,30464,2,133731,166106,30331,2,317681,52.7,379753,65.3,41.7,299912,51.5,401502,107530,89.7,93715,78.2,45504,44486,3937,0,225227,187932,830022,400881,62.9,347723,54.6,133924,183336,30461,2,790993,124127,156100,29990,8.6,29956,9.1,24498,26.1,18565,19.8,0,0,0,0
Nebraska,2731190,141190,187282,2282268,117983,2124960,145711,1171425,60.6,1088363,74.6,1081246,55.9,1007550,69.1,1593870,1013920,123400,0,80294,824933,1372133,4908,389255,610519,80169,1303,389098,537106,80095,1251,1001753,60.6,1088363,74.6,51.8,928126,63.6,1171425,290612,93,277103,88.7,134868,135416,6612,815,634831,203173,874098,1171135,72.4,1081153,66.8,389231,610470,80151,1301,2281884,141083,168862,84534,7.8,84375,8.4,69795,25.2,56384,20.3,0,0,0,0
New Hampshire,2262200,166374,204824,1876019,137972,1749322,158387,1002031,73.7,942254,85.3,851039,62.6,801510,72.6,1265940,865560,130700,0,94322,709310,1072325,62,325635,454715,70630,59,325383,405497,70575,55,780595,73.7,942254,85.3,57.4,731120,66.2,1002031,286796,99.9,225545,88.8,94763,116666,14397,29,506439,199492,891107,1001236,83.5,850814,71,325533,454617,70605,59,1875010,156437,188742,11386,1.3,11360,1.4,9405,4.2,6892,3.1,0,0,0,0
New Jersey,14719225,165716,211982,12032967,135473,11155114,160653,6596893,74.3,6121206,88.2,5851647,65.9,5439517,78.3,8393445,5625980,699800,0,450443,4522178,7060008,338,2132340,3261603,457517,187,2131743,2850371,457231,172,5395963,74.3,6121206,88.2,60.8,4984106,71.8,6596893,1433705,97.2,1288954,87.4,600282,604779,86550,52,2794384,189381,997552,6596037,86.6,5851436,76.8,2132306,3261489,457454,187,12032070,157935,193207,358887,6.1,358153,6.6,299132,23.2,212580,16.5,0,0,0,0
New Mexico,3124925,149031,192779,2932485,139853,2713778,167415,1582222,75.5,1457147,89.9,1373334,65.5,1267551,78.2,1688385,1285540,151000,0,100150,1190937,1634990,6408,545270,726160,100128,1776,544871,620946,99978,1756,1273996,75.5,1457147,89.9,60.8,1168352,72.1,1582222,387563,99.9,345746,91.6,165948,171071,21146,938,766398,202962,827562,1581894,88.5,1373238,76.8,545251,726096,100115,1776,2932130,164042,174828,118393,8.6,118183,9.3,94332,27.3,63837,18.5,0,0,0,0
Nevada,4240960,137687,177631,3558077,115516,3333312,139614,1928892,62.6,1802609,75.5,1612942,52.4,1517515,63.6,2519640,1513420,207900,0,155242,1233376,2169167,292,559181,900684,153039,38,559082,805400,152996,37,1460273,62.6,1802609,75.5,47.4,1364888,57.2,1928892,445895,89.9,389598,78.6,181802,184986,24410,22,888480,179139,855081,1928790,73.6,1612903,61.5,559177,900653,153035,38,3558021,135709,161757,89664,5.6,89561,5.9,76106,19.5,59465,15.3,0,0,0,0
New York State,31217475,160472,202379,27062928,139116,25321030,164153,14282049,73.4,13350797,86.6,12831988,66,12018638,77.9,18069615,11701960,1445900,0,1157302,9856180,16039151,10295,4564772,7162083,1102497,2636,4562857,6351600,1101715,2466,11733751,73.4,13350797,86.6,60.3,10921146,70.8,14282049,3089381,93.7,2802439,85,1324519,1307649,174858,1120,6135107,186130,947090,14280202,85.1,12831183,76.5,4564593,7161613,1102355,2622,27060328,161331,186115,500298,3.9,499405,4.2,419843,15,304321,10.9,0,0,0,0
Ohio,15940845,136374,174961,12671838,108407,11951225,131172,6478673,55.4,6099924,67,6017435,51.5,5682057,62.4,8882385,6316560,741900,0,509009,4768578,7377604,16647,2226646,3291266,494962,4561,2226151,2956692,494742,4472,5525964,55.4,6099924,67,47.3,5190790,57,6478673,1797722,87.9,1720335,84.1,777571,855619,87219,2277,3808750,186127,779001,6478422,64.8,6017339,60.2,2226640,3291187,494951,4561,12671567,126707,159397,417713,6.9,416832,7.3,365832,21.3,295876,17.2,0,0,0,0
